Timestamp,Text
2021-04-14T09:06:37.000Z,"Replying to 
@jonas_zug
 and 
@wangzhian8848太太的坏"
2021-04-14T09:04:50.000Z,连美国都在日本核废水入海问题上耍太极，有人却还在搅尽脑汁为日本洗地。可耻！
2021-04-14T08:50:23.000Z,"Replying to 
@wangzhian8848你又代表专家了，哪个砖家明确说过日本处置方法完全正确？
连布林肯也只是说“似乎符合全球公认的核安全标准”。"
2021-04-14T08:40:20.000Z,"Replying to 
@nytchinese美国对待台湾问题言而无信，中国真应该听取纽约时报的建议扩充核武，否则不足以应对美国这个真小人！"
2021-04-14T06:28:44.000Z,"广而告之！#真相 
卫报调查：美国和英国人均产生的塑料废物比任何其他主要国家都多。
 https://theguardian.com/environment/2020/oct/30/us-and-uk-citizens-are-worlds-biggest-sources-of-plastic-waste-study…"
2021-04-14T06:06:53.000Z,"Replying to 
@lunareadingnote他好像不B人，这点比方肘子好，不得不承认。"
2021-04-14T05:54:26.000Z,"Replying to 
@makeGreateAgain
 and 
@M8CHINA你大号拿不回来了？"
2021-04-14T05:53:28.000Z,"Replying to 
@ShureliaY一天到晚就做两件事：造谣和骗钱（让人关注油管）"
2021-04-14T05:41:36.000Z,"Replying to 
@lunareadingnote中韩俄三个邻国步调一致，反对！
美国支持！欧洲沉默！"
2021-04-14T05:38:12.000Z,"Replying to 
@makeGreateAgain
 and 
@M8CHINA不好办，我们不是日本"
2021-04-14T05:37:07.000Z,"Replying to 
@Gandie03没正式官衔，玩擦边球"
2021-04-14T05:24:28.000Z,"对日本核废水排入海，看看各国态度。
中韩俄：严重关切！反对！
美国：谢谢日本！支持
欧洲：沉默！"
2021-04-14T05:14:26.000Z,大家还记得去年沈佳欣被封杀事件吗？那时推特上立刻就冒出一个沈佳欣来，让大家（反贼们）关注“她”。记得当初还有很多人质疑过，并且怼过“她”，我就是其中一个。现在终于水落石出，圈粉目的达成，这个幕后推手就是财经谣眼！这个财经谣眼到底有多少营销号，有人知道么？
2021-04-14T04:39:31.000Z,"Replying to 
@appledaily_hk这是中国领空，慢慢就会习惯了！

踩
烂苹果！"
2021-04-14T00:01:40.000Z,"作秀的水都不敢喝，
怎能让人信服？"
2021-04-13T18:56:53.000Z,"据说80%的川粉称不会接种新冠疫苗，然而有意思的是，川普却在离开白宫前（今年1月份）偷偷打了疫苗。川粉土壤博士稱新冠疫苗降低免疫力 拒絕接種 | 世界新聞網
全美目前新冠疫苗接種規模愈來愈大，很多民眾為了能夠盡早接種疫苗，預約時出現爭先恐後情形，唯恐落後他人，不過仍有美國民眾包...
worldjournal.com"
2021-04-13T18:33:48.000Z,拜登决定今年9月11日前从阿富汗撤军，原来川普定的撤军时间是今年5月1日。这日子真巧哦
2021-04-13T18:08:21.000Z,"表演他们来，我们只负责看戏！
#美国人不打美国人Quote Tweet
XIJIN LI
@XijinLi
 · Apr 13
亚裔就是贱！
“我是亚裔，但不是中国人，别开枪”的T恤居然热卖。"
2021-04-13T15:01:11.000Z,"Replying to 
@RFA_Chinese记得南海十一段线是当初美国和中华民国一起去划定认可的，属于中国祖产。现在台湾某些人为了一己之私，不但不维护，还想方设法去送人。真是妄为一世人，可耻！"
2021-04-13T14:53:12.000Z,"Replying to 
@VOAChinese继阿斯利康之后，又一个西方神话破灭！"
2021-04-13T14:52:56.000Z,"继阿斯利康之后，又一个西方神话破灭！#强生疫苗Quote Tweet
美国之音中文网
@VOAChinese
 · Apr 13
美国政府建议暂停使用强生公司的单剂新冠疫苗，调查可能的血栓风险。美疾控中心与食品药品管理局13日说他们正在调查6名女性接受疫苗6到13天后出现血栓的情况。目前美国已接种6百80万剂强生疫苗，绝大多数人没有或有轻微反应。政府告诫如接种疫苗三星期内有严重症状应就医。 
https://bit.ly/2Rz3mhZ"
2021-04-13T11:24:07.000Z,"Replying to 
@VOAChinese美国官员估计一辈子都不会喝“太平洋水”，所以选择了冷眼旁观。记得劝劝你的国民以后不要下海裸泳。"
2021-04-13T11:20:48.000Z,"美国没有歧视华人，华川粉舔狗如是说。
快来看！聊个天都遭人骂，这不是歧视，又是什么？
#美国人不打美国人"
2021-04-13T11:09:46.000Z,"Replying to 
@moon17th001客场作战不容易呀！先是1:2落败。按赛制属打平，加时赛看到1:0，六点半新闻时间到了，不知道最终比分。"
2021-04-13T11:02:10.000Z,"中国女足太不给面子。
据说韩国女足这一次是进入奥运会的最佳机会，没想到，被中国女足“破坏”了。Quote Tweet
skyfolly
@skyfolly
 · Apr 13
女足精神，好样的，赢了。"
2021-04-13T09:01:30.000Z,"Replying to 
@YIZHANDENG1001
 and 
@dw_chinese整天做着皇帝梦，心不诚。这叫“叫天 天不应”？"
2021-04-13T06:00:31.000Z,注意用词：似乎符合
2021-04-13T05:58:59.000Z,"当地时间4月12日晚，美国国务院官网发布声明称，支持日本政府的决定，并表示该做法“似乎符合全球公认的核安全标准”。#狼狈为奸Fukushima residents protest decision to dump radioactive water into...
For more:https://www.cgtn.com/videoPeople across Fukushima on Sunday protested against the Japanese government's decision to dispose of radioactive wastewat...
youtube.com"
2021-04-13T05:48:06.000Z,"Replying to 
@China_USA_Talk知道可以收短信，就怕再来一次语音短信，上次因为这个封了3个月"
2021-04-13T03:55:24.000Z,"日本向海洋倾倒核废水，只有中韩两国表示关切，而西方国家和媒体集体选择了可耻的沉默！
怎样才能把日本的缺徳行为推上热搜？#日本 #Japan"
2021-04-13T03:46:59.000Z,"Replying to 
@lunareadingnote南方叫汤圆，你是南方人？"
2021-04-13T03:44:26.000Z,"Replying to 
@2bdoge专送美军的原木，湾湾只有羡慕的份。"
2021-04-13T03:41:52.000Z,东风快递使命必达！
2021-04-13T03:27:17.000Z,"Replying to 
@China_USA_Talk短信？怕收不到"
2021-04-13T02:55:51.000Z,1450网军真看得起我
2021-04-13T02:44:31.000Z,"Replying to 
@RFA_Chinese自导自演的闹剧？疫情之下，轮子的生活也不容易，保险公司来了么？往大数，这可是一笔不小的收入啊！"
2021-04-13T02:41:13.000Z,"Replying to 
@nogoodcm还有会演戏，怀疑是大妓院上演的苦情戏"
2021-04-13T02:20:09.000Z,"玩下三滥！
就算封了我一个，还有千万个我！"
2021-04-12T17:54:40.000Z,"创造历史满分Quote Tweet
菠蘿島幹休所所長
@LbJBTQ57Xn4wbIA
 · Apr 11
Replying to @Lancyhahahahaha
还有什么好说的。"
2021-04-12T17:52:20.000Z,喀什法院于4月2日受理了新疆莎车雄鹰纺织有限责任公司起诉郑国恩名誉权纠纷案件。 莎车负责人表示，德国人郑国恩撰文捏造、歪曲事实，污蔑企业“强迫劳动”，严重损害了公司名誉，并给公司造成了严重的经济损失。该公司请求法院依法判令郑国恩停止侵害、消除影响、恢复名誉、赔礼道歉，并赔偿企业损失。
2021-04-12T17:48:03.000Z,"对中国人事重拳出击
对日本核水选择沉默
你们配做人么？#逗士 #南波蛙"
2021-04-12T17:24:31.000Z,以你们的智商，也就配给人当汪汪。下贱的东西！
2021-04-12T16:00:19.000Z,"Replying to 
@RFI_TradCn路边社：林肯从黑暗中走来！"
2021-04-12T15:58:56.000Z,"Replying to 
@Gandie03跟我们这些路边社一样，老不正经"
2021-04-12T15:33:16.000Z,"零元购！就是香，不接受反驳！Quote Tweet
我是梦嫣
@wangmengyan123
 · Apr 12
20岁男子遭警察枪击身亡，美国布鲁克林再爆发抗议，多家商店遭到洗劫。
其实还是挺文明的，我看到好像还是排队进店的
不过说回来，我一直搞不懂，抗议就好好抗议吧，为啥要搞零元购呢"
2021-04-12T15:30:18.000Z,"日本核污水直排入海，将对整个世界造成无法挽回的伤害！
#日本毒害世界"
2021-04-12T15:21:21.000Z,"Replying to 
@G2_1988收入与付出的问题，一旦付出的代价小了，就水到渠成了。"
2021-04-12T15:14:40.000Z,"Replying to 
@QFsFP3yAZKKFBwK估计这两天被橙汁酸晕了"
2021-04-12T15:11:37.000Z,"回来了！Quote Tweet
Zhang Heqing张和清
@zhang_heqing
 · Apr 12
Disappointed suspended account has been back. Let's dance. Let's fight!
Show this thread"
2021-04-12T11:22:54.000Z,"Replying to 
@chuideng希望还有救"
2021-04-12T11:19:34.000Z,重新互关不到半个月，张参赞帐号被言论自由了！唉！推特勒
2021-04-12T09:08:09.000Z,徳国海洋研究机构：日本核污水一旦排入57天或污染半个太平洋，3年后美国和加拿大或将喝到日本核污水。
2021-04-12T09:00:34.000Z,"Replying to 
@ChineseWSJ以色列！美国的老大不高兴后果很严重！"
2021-04-12T08:52:17.000Z,"Replying to 
@ThinkingPanda2主要是轮子和锅子在带节奏，还有华川粉"
