Timestamp,Text
2021-04-14T17:13:27.000Z,"不知道黑山政府是怎么想的，欧盟能够如果能够替你还债，当初为什么欧盟当时不借钱给你？欠中国10亿美元要欧盟代还　黑山小负债是布鲁塞尔的大考验
西巴尔干沿海小国黑山共和国（Montenegro）对华欠债极高，占其国债高达四分之一，迫使这个2020年债务已飙升至国内生产总值（GDP）103%的国家近日转
dwnews.com"
2021-04-14T16:21:52.000Z,"Replying to 
@Anti_USA_Inc
 and 
@royalhanknight我理解，你没经历过那个年代，当时的腐败已经到了令人咋舌的底部。8964初期的口号就是反腐败反官倒，这个起因是事实，无可争辩的，后来被反动势力利用也是事实。
正如《矛盾论》所讲，事物发展演变的主导为内因。"
2021-04-14T16:17:57.000Z,"Replying to 
@CrabNJ
 @Anti_USA_Inc
 and 
@royalhanknight这些8\90年代的官倒，到了2000年就演变成“权贵资本主义”，我可以很明确的告诉各位我当时的政治立场，不需要西方人来忽悠我，我自己当时就是现在我眼中的“反贼”！"
2021-04-14T16:08:12.000Z,"Replying to 
@CrabNJ
 @Anti_USA_Inc
 and 
@royalhanknight这就是我很年轻之时面对的社会，人民无所谓了解国家政治结构和运行，人民只需要公平，只需要一个为人民服务的政府。
现在公务员敢大吃大喝？火车站再也没乞讨者，我自家就有两辆车，上班下班接送孩子老人遮风避雨。
他政府当时自己没问题，谁特么能搞得起来颜色革命？？？！"
2021-04-14T16:02:06.000Z,"Replying to 
@Anti_USA_Inc
 and 
@royalhanknight1993我上初三，我父亲是公务员，经常在外有“饭局”，他对我说过，基本都是“商人”请客，经常一顿饭价格就是他好几个月工资。而我家住在火车站附近，放学回家经常看到衣衫褴褛，甚至四肢不全的乞讨者。我有个朋友，他家“有关系”，2001年代末他上大学是开车去的，因为他家有别克进口车在南京的独家销售权。"
2021-04-14T01:55:55.000Z,而在1993年毛主席诞辰100周年时，人民群众中再一次掀起了怀念毛主席的活动。再以后是1999年，中国驻南斯拉夫的大使馆被炸出现了第三次。而时至今日，我们在美帝国主义的攻击下，各位是不是也在怀念他老人家？怀念他强调自力更生，强调“备战、备荒、为人民”的思想？
2021-04-14T01:53:33.000Z,回顾历史，每当中国的人民在艰难的时刻，都会想到毛主席这个伟人，都以无比怀念的态度去追忆他。当人们想到为什么会发生8964，为什么会出现学生和政府的对峙。是因为偏离了党和国家曾经的承诺。所以人们要求改革，要求反腐败，看清了当时政府几乎违背了无产阶级专政的行为。
2021-04-14T01:27:19.000Z,之所以会看见众多文革负面舆论，一个最主要原因就是在文革中被批斗的一些资本主义思想公知，其在总设计师“平反”以后掌握话语权，极尽全力对文革和教员进行污蔑。只要看当时的经济数据，就能知道这是谎言。文革其实是“大民主”，是无产阶级专政的大体现，要不教员会把文革作为自己的最大成就之一吗？
2021-04-14T01:22:35.000Z,根治海河取得巨大成就，治理了子牙河等5大河系，修堤4300公里，疏浚270条河道，建成80座大中型水库、1500座小水库，万亩以上灌区271处，排洪能力比1963年提高5倍；大规模治理辽河取得成效，建成水库220座，灌溉面积由63万亩增加到1100万亩。
2021-04-14T01:22:27.000Z,全面治理黄河取得重要进展，扭转了黄河历史上“三年两决口”的险恶局面，灌溉面积达800万亩，1971年黄河流域粮、棉产量比1949年分别增长79%和137%；治理淮河成绩显著，共开挖 11条大河道，建成30多座大水库、2000多座中小水库，灌溉面积相当于1949年的5倍以上；
2021-04-14T01:22:07.000Z,到1978年，中国工业和农业总产值的比例构成，已经从1952年的43.1：56.9，变为75.2：24.8，从此可以看出我国已初步实现了国家工业化的目标。长江中下游水利建设取得重大成绩，兴建了荆江汉江分洪等工程，共建成500多座大中型水库，灌溉面积达1.55亿亩。
2021-04-14T01:15:58.000Z,"无论喜欢还是不喜欢，文革期间经济有着迅猛发展，10年经济年均增长率：工农业7.1%。社会总产值6.8%，国民收入4.9%。与建国初期纵向比较，1952年工农业总产值为100%，1976年的指数626.6%，也就是说十年间增长了5倍还多。更不用说两弹一星、导弹核潜艇下水和大飞机试飞等成就。中國對自身的歷史解讀是這樣的？習近平「重評」文革
在稍早前，中共出版了新编写的《中国共产党简史》（以下简称《简史》），以配合营造建党百年氛围。同样的做法在二十年前，中共建党80周年之际也曾
dwnews.com"
