Timestamp,Text
2021-04-14T14:53:59.000Z,"Replying to 
@21q1VlX4JjxSfPZ那咱可算凑一块儿了！我就好嘚啵"
2021-04-14T14:23:38.000Z,"Replying to 
@guodastatham888英国彼时有否抵制过美国棉花呢？"
2021-04-14T14:19:46.000Z,"Replying to 
@21q1VlX4JjxSfPZ行，我哪天好好儿回忆回忆，把当年呲花柳儿蜜的事儿拾掇拾掇………"
2021-04-14T14:17:29.000Z,"Replying to 
@dugujiujianxian争取咱以后更出彩"
2021-04-14T14:16:54.000Z,"Replying to 
@21q1VlX4JjxSfPZ我流氓那会儿…………唉！不提了，不提了………"
2021-04-14T14:16:05.000Z,"Replying to 
@dugujiujianxian咱都别客气了！往后，只要有灵感，咱俩就合作"
2021-04-14T13:54:25.000Z,"Replying to 
@anan_610比起现在这些孩子，我们上学的时候是真好混呐！"
2021-04-14T13:52:03.000Z,"Replying to 
@anan_610
 and 
@dugujiujianxian以后咱们都捧着我来哥！"
2021-04-14T13:51:04.000Z,"Replying to 
@anan_610没有没有，我那专业课学的真不怎么样！甭说学位，连毕业证都差点儿没给我！

说起这个，我得感谢我们班那哥们儿。那B猛！书包里搁把菜刀，要找校党委书记聊聊学位证书的事儿……
后来，学校给了他学位证书，给了我一毕业证………
至今记得那哥们儿的模样儿，内蒙的，上学的时候都叫丫：五子"
2021-04-14T13:42:26.000Z,"Replying to 
@dugujiujianxian来哥，厉害呀"
2021-04-14T13:37:58.000Z,"Replying to 
@wakeup_arrow回味，且无穷地回味………"
2021-04-14T13:37:20.000Z,"Replying to 
@anan_610早年，我本功儿是干这个的
不过，上学的时候专业没选好：史学史！课程能烦死人！"
2021-04-14T13:35:29.000Z,"Replying to 
@wakeup_arrow毒龙钻儿呗？"
2021-04-14T13:26:40.000Z,"关键是这些人还都打心眼儿里往外的那么觉着自己的智商真不如美国总统和国务卿以及美国议员们……

咋整？没药能治！Quote Tweet
羲皇（华盛顿之春2116）
@ppLLJ85497
 · Apr 14
只要看看特鲁多、莫里森、菅义伟、鲍里斯、泽连斯基、甚至包括马克龙这号人物就知道了，美国在全世界推行“民主价值”何在？就是让别国的领导人都低智商化，容易操纵，让真正智慧的政治家上不了台，从而方便他大美利坚将这一套“国际秩序”天长地久地维持下去。"
2021-04-14T13:23:22.000Z,"Replying to 
@slipknothooh让您这一说，我觉得那位女士简直是满脑子都是糨子"
2021-04-14T13:17:15.000Z,"Replying to 
@chenxiaoau竹板儿这么一打呀
别的咱不夸
夸一夸
有公知
他舔日本腚眼子……"
2021-04-14T13:14:18.000Z,"三、从前阶级身份相同便可一视同仁的制度消失了，新的民族政策倾斜了，问题就来了……
因政策调整而失意的、以仇恨报复被压制时期怨恨的就出现了，民族矛盾来了，制造民族仇恨的人出现了……

不想颂扬文革，但要说事实：共产党不搞民族歧视，更不会搞种族灭绝！

两推文作者对边疆文革史很缺乏瞭解。"
