Timestamp,Text
2021-04-14T21:19:54.000Z,"【党史三百则】061
张作霖奉军进京后，国共两党北方最高负责人李大钊把国共机关搬进东交民巷苏联使馆旧兵营。张作霖和外国公使团都认定苏联使馆和李大钊此举违反国际公约在先，使馆区巡捕房获令：若中国军警查抄，勿得拦阻。
1927年4月6日，京师警察厅突袭旧兵营，逮捕李大钊及家人，获取七卡车文件。"
2021-04-14T20:25:23.000Z,"徐友渔说：中共领导人有个很顽固的想法，觉得毛泽东最伟大，邓江胡比起来都不行。如果一个人的历史地位可以和毛相提并论，这才是伟大的标准；如果只是继承邓小平，那还谈不上这么伟大。可能习近平还是追求个人在历史上的地位，有一种很顽强的动力和趋势，总是要回到毛那里。夸大习时代粉饰文革十年，新版党史何以服众？
配合习近平亲自推动的建党百年党史学习教育运动，中共官方推出2021年新版《中国共产党简史》，作为指定的党史学习教材。其中最引入注目的是，习近平执政的“新时代”占据百年党史的四分之一篇幅，突出宣扬习近平倡导的“中华民族伟大复兴中国梦”的方方面面。
voachinese.com"
2021-04-14T18:54:12.000Z,"美国作为已经是多元文化多元宗教的国家，在多大程度上把握多元化，才能避免分裂？如果西方文明只是被视作“多元之一”，甚至蜕变为一个弱势文化，那么自由、民主、人权、法制、宪政、个人主义和私有财产这样一些价值内涵，是否还需要坚持？
请读——
https://blog.creaders.net/u/3843/202104/402296.html…"
2021-04-14T15:12:14.000Z,"【党史三百则】060
湖南大学者叶德辉，精通版本目录学，反对维新变法更看不惯农民运动。1927年4月11日，被国民党湖南省党部授权成立特别法庭以“封建余孽、豪绅领袖”罪名公开处决。
签名判死的特别法庭五委员中三人为中共党员：谢觉哉、戴述人和易礼容。毛泽东41年后承认，对于这种大知识分子不宜于杀。"
2021-04-14T13:19:52.000Z,转贴——
2021-04-14T02:19:59.000Z,"【党史三百则】059
1927年初，毛泽东写出《湖南农民运动考察报告》，对农民“竟在乡村造成一种恐怖现象”推波助澜，欢呼“痞子运动好得很”。毛详列了“农民协会领导之下总共作了十四件大事”，连禁花鼓、禁鸡鸭、不准谷米出境都写到了，却只字不提在中共看来涉及农民最大利益的土地问题，真是咄咄怪事！"
2021-04-13T21:57:31.000Z,"2021年4月9日，英国菲利普亲王去世。他生于1921年6月10日，白金汉宫发讣告说，他享寿99岁。
恰巧中共党史专家司馬璐2021年3月28日去世，他生于1919年8月23日，华人媒体多报道他享寿103岁。
中国人报道菲利普享寿多半会写100岁；
西方人报道司马璐享寿大概会说101岁。
中西方算岁数的差别，颇有意味！"
2021-04-13T19:46:44.000Z,"【党史三百则】058
1926年底，毛泽东等制定《目前农运计划》，“集中在湘、鄂、赣、豫四省发展，目标是夺取地主土地，满足农民土地要求”。流氓无产者掌农会大权，想斗谁斗谁，戴高帽游街，抢粮占房……包括北伐军官兵家属，像35军军长何键的岳丈被农会捆绑批斗。湖南农民运动无法无天，激化了国共矛盾。"
2021-04-13T17:41:04.000Z,转贴——
2021-04-13T12:54:52.000Z,"【党史三百则】057
孙中山逝世，国民党内左右派矛盾更无人能镇得住，相继发生西山会议派、“中山舰事件”等多起风波。
1926年5月国民党通过蒋介石提的“整理党务案”：共党不得任国民党中央各部长，委员比例不得占三分之一；国民党员不得加入共党；中共须提交党员名单和共产国际的指示等。两党更势同水火。"
