Timestamp,Text
2021-04-13T19:11:00.000Z,"Replying to 
@JJH_Chi有你这想法的人有好些，也有其他人对我说过相同的想法。
以我的经验，知易行难，组织成本太高。没钱成不了事，有钱必成内耗。程晓农花时12年办好的《当代中国研究》就是一例。人生有几个12年？这还不包括我尽的数年义务。
我老了，默默打磨自认为的石块就好。"
2021-04-13T18:42:49.000Z,"全世界有少数人清楚，2020年之后美国已经改变。
但美国两党似乎都不明白这点：民主党以为只要坚持认为没有舞弊就一切OK；共和党以为只要等到2024年就重归以前。
美国其实已经五脉俱伤。我这位经历过极权统治的人心中非常清楚。
美国对华外交受挫只是一个开始。"
2021-04-13T17:46:28.000Z,"布鲁克林中心警察局的金·波特（Kim Potter）在不小心枪杀黑人Daunte Wright后辞职，辞职信中说，她“立即”辞职符合部门和社区的“最大利益”。
如今是民主党当家，发生这种事情，死去的黑人也不会成为弗洛伊德了，跨国公司、好莱坞都不会撒钱了。除了用死者可以达到某种政治目的。Quote Tweet
Forbes
@Forbes
 · Apr 13
Police Officer Who Killed Daunte Wright Resigns, Saying It’s In ‘Best Interest’ Of Community https://forbes.com/sites/melissaholzberg/2021/04/13/police-officer-who-killed-daunte-wright-resigns-saying-its-in-best-interest-of-community/?utm_campaign=forbes&utm_source=twitter&utm_medium=social&utm_term=Gordie…"
2021-04-13T17:38:56.000Z,"Replying to 
@NAConservative9最高法院如果违背其成立初意，意味着死亡。这坟墓的第一铲土是他们自掘的。"
2021-04-13T13:09:53.000Z,"这关系很象民主党与选民的关系：
谢家华作为老板，为追随者提供薪资。追随者投其所好，为其提供毒品。
民主党需要追随者的选票，付的薪资就是毒品除罪化，第一步是大麻合法化。民主党需要BLM配合基层选举操控，所以得允许其“和平示威”零元购买。民主党选民需要福利，就得接受民主党男女同厕与毒品除罪Quote Tweet
华尔街日报中文网
@ChineseWSJ
 · Apr 13
Zappos前CEO谢家华去年意外去世，年仅46岁。在他去世前几个月，家人和朋友发现他深陷不能自拔的困境。紧跟他的一个核心团队为他沉迷于毒品提供便利，帮助他免受外界打扰，与此同时，那些人从他那里领着丰厚的酬劳。
https://on.wsj.com/2PZyHK7"
2021-04-13T12:36:14.000Z,"Replying to 
@shijianxingzou看了布林肯言论之后，你认为应该认为布林肯强硬，还是北京太猖狂？
我认为是后者，布林肯说的是老生常谈。不同情。
美国应该反省一下：美国国威什么时候下跌至如此状态，说句许多人都说过的话、比川普退后千步万步的话，也会挨骂？"
2021-04-13T12:32:42.000Z,"Replying to 
@aboluowang这个区是民主党铁票仓。"
2021-04-13T00:17:19.000Z,"控制舆论意味着掌控现在，书写历史，构造将来，共产主义-社会主义及一切左派都深知这一点。
最近我在搜查资料的时候，核对存盘文件，发现不少已被删除，尤其是推特。维基百科对CHAZ国这种充满暴力与肮脏的暴乱自治区，都充满美言。
2020年注定是一段被严重歪曲的历史。"
2021-04-12T16:10:56.000Z,"Replying to 
@WatchingQuietl1https://twitter.com/WatchingQuietl1/status/1381620331069145090…
自己看，何需要亲自在这种时候去。
他自己说过愿意在地下室做背后的总统。"
2021-04-12T15:24:30.000Z,"Replying to 
@WatchingQuietl1如果你真如此明白，就不会说出奥巴马那番话来。你看来也半点不清楚奥巴马时期的中美关系，我给过链接，奥巴马对华政策期望清单是谁帮助奥巴马做的。自己找吧。
请不要再来了。"
2021-04-12T15:22:21.000Z,"Replying to 
@chinayvan目前只有一种阻力，转弯不能太快，要做成水到渠成之势。这点需要北京多加谅解。
阿拉斯加会议之后，中国方面可能也意识到了这点，拉绞索的力道减弱了——WSJ评论都意识到左派将自造的绞索送给了外国。"
2021-04-12T15:19:41.000Z,"Replying to 
@WatchingQuietl1拜登与川普的社会基础完全不同，这点看不到，还在这里说了又说，佩服你。
目前全世界都知道拜登政府不是拜登当家。
去读一下纽约时报今天的文章拜登经济学吧。我给了链接。"
