Timestamp,Text
2021-04-14T21:08:26.000Z,"Replying to 
@sylichao1谁说产业化业务中就一定要有提成？"
2021-04-14T21:03:12.000Z,"这是一个重要消息，医疗系统要深入整顿，不紧要查，更应该改，让那些乱开药、乱检查的医生下岗，即使没有拿回扣也是浪费医疗资源！Quote Tweet
人民日報 People's Daily
@PDChinese
中国官方媒体
 · Apr 14
【為期1年！六部門將嚴查醫療機構“開單提成”等行為】國家衛生健康委、市場監管總局、國家醫保局、國家中醫藥局、國家藥監局、中央軍委後勤保障部衛生局將於2021年4月至2022年3月開展為期1年的不合理醫療檢查專項治理行動。https://bit.ly/3abP65c"
2021-04-14T20:47:32.000Z,"Replying to 
@XianTuiGuoKe我也知道中国籍千人计划回去的，无论动机和结果如果，这个规定都不能这样写，这样写就是歧视，毫无疑问。"
2021-04-14T18:42:47.000Z,"Replying to 
@MAXLEE36969284
 and 
@JadeMishu华裔就不能是外国专家了？"
2021-04-14T15:15:09.000Z,"Replying to 
@Dreamer18888外籍军团只要求外籍，可没有不让“非法裔”报名。实际上有相当数量的阿尔及利亚人参加，这些人很多是法国人的后代。"
2021-04-14T14:59:42.000Z,日本人搞出来的吉祥物“氚宝”，怎么和台蛙这么般配？
2021-04-14T14:53:53.000Z,"Replying to 
@Dreamer18888管理上当然可以有所不同，但招聘时以人种做为条件，难道不是歧视？"
2021-04-14T14:48:32.000Z,"Replying to 
@Dreamer18888问题就出在分两类，分了就是典型的歧视。"
2021-04-14T14:43:10.000Z,"Replying to 
@youngshow11无论动机、结果如何，这一条这么写成非华裔免进肯定不行。应该改成：多向非华裔的外国专家宣传政策，争取人才多元化。即可。"
2021-04-14T13:59:26.000Z,"Replying to 
@Vincent95533中国科技部官网的链接http://most.gov.cn/kjzc/gjkjzc/kjrc/201308/P020130823578457962084.pdf…"
2021-04-14T13:57:41.000Z,"Replying to 
@leongend多元化当然是好事，但是文件上不能这么写，这么写就是歧视。"
2021-04-14T13:43:03.000Z,"Replying to 
@yohuohuo结果并不能扭转文件的荒唐。

只能说明“非华裔“不爱来。"
2021-04-14T13:38:04.000Z,丹麦永久禁用AC疫苗。湾湾怎么办？
2021-04-14T13:29:34.000Z,"Replying to 
@Kunitoshi15
 and 
@Tipo79_Fujiejie当然有阻碍，有的项目把华裔排除在外，难道不是阻碍。实际上部分省份和学校也意识到了这个问题，在今年的文件上已经做了修正，特意强调华裔和非华裔均可。"
2021-04-14T13:22:34.000Z,"Replying to 
@roseliu64212002区别对待就是典型的歧视。"
2021-04-14T13:04:46.000Z,"Replying to 
@Truth_graceful当然还有不分人种的人才引进计划，我又没有说华人华侨专家就没办法回国创业搞科研了。

我是强调这个”非华裔“才可以申请的规定，涉嫌种族歧视，应该删除。"
2021-04-14T13:02:16.000Z,"Replying to 
@yantai2012我做了一个调查，发现每个省都是。你用 千人计划 非华裔 做为关键字搜索。"
2021-04-14T13:01:18.000Z,"Replying to 
@roseliu64212002我也有知道有华裔，因为有些省招不到那么多非华裔专家，或者也认为这样的规定不妥，所以在省内下发文件时把”非华裔“改成”原则上要求非华裔“。"
2021-04-14T12:59:53.000Z,"Replying to 
@roseliu64212002这是中国科技部的官网链接http://most.gov.cn/kjzc/gjkjzc/kjrc/201308/P020130823578457962084.pdf…"
2021-04-14T12:56:26.000Z,"Replying to 
@nighting20081
 and 
@TihsSi10年前的文件但是现在还在执行，所以这件事情后果才更加严重！

实施了10年！不知道因此伤害了、错过了多少华人优秀人才！"
2021-04-14T12:55:33.000Z,"Replying to 
@nighting20081
 and 
@TihsSi你说的这些和我的观点有关系吗？

我举一个非常简单的例子，如果美国某机构招收专家明确写明”华裔不可申请“，你还觉得正常吗？这就和酒吧门上写了”华人不能入内“是一模一样的道理！只不过没那么强烈的直观刺激。"
2021-04-14T12:51:06.000Z,"Replying to 
@nighting20081
 and 
@TihsSi少数民族政策和“华裔不可入内“专家计划是两回事，更说明共产党部分高级干部内心深层的种族自卑。"
2021-04-14T12:49:00.000Z,"Replying to 
@nighting20081
 and 
@TihsSi程序歧视是以人种为标准的，就是种族歧视。"
2021-04-14T12:47:44.000Z,"Replying to 
@skyfolly中组部的文件，各省都在执行，已经实施了10年！不知道因此伤害了、错过了多少华人优秀人才！"
2021-04-14T12:41:57.000Z,"Replying to 
@nighting20081
 and 
@TihsSi镀金海归只要有真本事，为什么就不能来申请？再者说了，不管出于什么目的，官方文件就不能这样写，这是赤裸裸的种族歧视！"
2021-04-14T12:36:31.000Z,"Replying to 
@Tony2001SEA看文件日期，已经执行了整整10年了！"
2021-04-14T12:35:59.000Z,"Replying to 
@JUHAO119链接中的文件就是最全面的官方说明。就是要“非华裔”，这是硬性条件，各省都在执行。搜了一下新闻，发现各省都在为又招了多少“非华裔”的外国专家而沾沾自喜、遥功遥赏。"
2021-04-14T12:33:13.000Z,"Replying to 
@Tony2001SEA想想看有没有其他途径？中央各大官网有没有申诉的链接？"
2021-04-14T12:31:55.000Z,"Replying to 
@Tony2001SEA我不认为这是尸位素餐，相反好像都在积极干活。我认为他们骨子里有严重的祟洋媚外心理，对种族主义的危害没有深刻理解，更显示了中国针对种族主义的法律严重欠缺。"
2021-04-14T12:27:04.000Z,"Replying to 
@skyfolly上樑不正下樑歪！"
2021-04-14T12:26:32.000Z,"Replying to 
@JUHAO119那你说对了。你对这个文件的看法是什么？"
2021-04-14T12:25:51.000Z,"Replying to 
@pureepuree1我家也有海外专家想申请时发现不收华裔，顿时回国报效的热忱没了。"
2021-04-14T12:24:42.000Z,"Replying to 
@Tony2001SEA这一大行字，你觉得是粗心？中组部的文件你觉得有可能马大哈？

这是中组部一帮人开会决定的。"
2021-04-14T12:22:55.000Z,"Replying to 
@tedlxf1978你觉得你观点能说服你自己吗？"
2021-04-14T12:22:00.000Z,"Replying to 
@JUHAO119你解释了什么？"
2021-04-14T12:11:22.000Z,"中共中央明确指示千人计划外国专家特指”非华裔“。

把某个人种排除在外，请问这是不是公然的种族歧视？这样做有什么法理和道德依据？外国专家就是持外籍的专家，和人种有什么关系？如果这个计划把华裔排除在外，就不应该叫”高层次外国专家项目”，而是“华裔勿入专家项目”！http://most.gov.cn/kjzc/gjkjzc/kjrc/201308/P020130823578457962084.pdf…Quote Tweet
中国人民之声 VOICE OF CHINESE PEOPLE
@US93492643
 · Apr 14
某省官方关于引进外国专家的公告，明确要求是“非华裔”。难道皮肤颜色会影响专家的水准？

我们自己的政府都歧视自己的种族，还怎么要求别的种族尊重你？！

这样的要求在各省的人才计划中都可以看到，似乎各省都在比拼自己引进的“其他人种专家”数量！
Show this thread"
2021-04-14T10:12:07.000Z,"Replying to 
@itsing6你这句话相当在说针对自己种族的歧视是合理的。"
2021-04-14T10:10:49.000Z,"Replying to 
@TihsSi华裔来得少，非华裔就来得多，那为什么还要加这一条屁话？

背后的动机其实不是重点，重点是这条规定把某个人种排除掉，这就是种族歧视！

比如说，在种族歧视严重的美国，如果某机构招收专家明确表示只接收”非华裔“的申请，你觉得会出现什么后果？"
2021-04-14T10:06:57.000Z,"Replying to 
@anan_610你真会替人担心，这是你真正的想法吗？那为什么还有一份不分人种的征才计划呢？"
