Timestamp,Text
2021-04-14T12:40:26.000Z,"Replying to 
@terbakat据龚小夏转述，15岁就与郭骗私奔的发妻岳庆枝曾对全力以赴帮助郭骗的韩连潮说：郭文贵的话连一句都不能信！"
2021-04-12T13:30:27.000Z,"如今在中国大陆恐怕无法再拍出这样的电影：媲美「霸王别姬」的大陆禁片「蓝风筝」。田壮壮被封杀八年 的经典之作，讲述一段美化却依旧血腥苍凉的历史禁歌。生活，... https://youtu.be/gA8LK3-r-Ms via 
@YouTube媲美「霸王别姬」的大陆禁片「蓝风筝」，我们本可以翱翔，如今却破败不堪。田壮壮被封杀八年 的经典之作，讲述一段美化却依旧血腥苍凉的历史禁...
加入会员，听更多新潮、尖锐、光怪陆离的大实话:https://www.youtube.com/channel/UCeGXnibpvlhobJt7Ijne1Mg/join大陆禁片「蓝风筝」，一部比肩「霸王别姬」的历史禁歌。我们本可以翱翔，却被命运折断了翅膀。导演田壮壮说，他的电影是拍给21世纪的人看的。他影片里记录...
youtube.com"
2021-04-11T19:48:31.000Z,"10年前我在郑存柱的办公室里第一次见到你，一位身体强健的海军陆战队退役军人/坚定的反共战士，但当时绝没想到你还独自抚养着两个孩子，不简单！Quote Tweet
马可 Marco
@Marco201202
 · Apr 11
96个回复，1600多点赞，

这应该是我上推10年以来最多人点赞和回复的推文。

感谢幸福的人给我点赞！

感谢善良的人给我祝福！

感谢宽容的人给我建议！

也感谢3个垃圾人在1600多人中显得如此耀眼，

让我明白毕竟华人中的垃圾还是极个别的少数！

才3个而已，代表不了啥，完全可以忽略不计。"
2021-04-11T19:23:33.000Z,"Replying to 
@fly65162080短腿鸭还能蹦跶多久？"
2021-04-11T15:51:00.000Z,"军机频繁骚扰/中共真敢打台湾？20210411军机频繁骚扰/中共真敢打台湾？20210411
2021年4月11日（星期天）
youtube.com"
2021-04-11T02:44:48.000Z,"Replying to 
@JianWuAus有消息說郭騙坐牢的日子不遠了"
2021-04-09T23:21:07.000Z,"做女王的丈夫有多委屈？菲利普亲王隐忍73年后回归天国 20210409做女王的丈夫有多委屈？菲利普亲王隐忍73年后回归天国 20210409
2021年4月9日（周五）
youtube.com"
2021-04-08T03:40:20.000Z,"Replying to 
@HuarenNews我2005-2006年在伯克利做过一年访问学者，听了不少名家的课程和讲座。从经济学专业来说，伯克利当然要比康奈尔强得多，另外伯克利的数学系/商学院/法学院也很厉害！"
2021-04-05T11:16:51.000Z,"Replying to 
@terbakat郭骗黔驴技穷，正在垂死挣扎……"
2021-04-03T14:55:04.000Z,"Replying to 
@ting59348288這「文媚」就是郭騙的最佳詐騙搭檔王啪啪嗎？果然是龜雞雙修成正果了，詐騙手法已達登峰造極的程度。"
2021-03-28T01:51:29.000Z,"Replying to 
@liqunchen以后那些停车技术太差的就不会有问题了"
2021-03-27T17:22:25.000Z,"Replying to 
@zhaochangqing89祝福！恭喜你开始新的征程"
