Timestamp,Text
2021-04-15T14:07:36.000Z,"【自由亞洲電台 特約評論】
陳破空：习近平加速折腾 无法实现的幻想评论 | 陈破空：习近平加速折腾 无法实现的幻想
近日，中国校园空气紧张，包括大、中、小学在内，得到中共教育部的内部通知，要求清理“校园流毒”，即清除“问题读物”，包括排除西方读物，只留马列著作。为此，还开列了“12条负面清单”。据知，这个内部通知和负面清单由最高领导人习近平亲自批示。
rfa.org"
2021-04-15T11:41:34.000Z,"惊掉下巴！习近平要传位给女儿？果真要搞君主制！多国外交官罕见探望一位母亲惊诧！习近平要传位给女儿！果真要搞君主制？多国外交官罕见探望一位母亲
支持陳破空縱論天下，敬請点击訂閲，並不忘按下小鈴鐺获及时通知。歡迎訂閲陳破空會員網站 https://www.chenpokongvip.com以及在希望之城的陳破空會員網：https://landofhope.tv/chenpokong陳破空第二油管頻道：新聞與歷史 https://www.youtube.co...
youtube.com"
2021-04-14T11:37:17.000Z,"内斗激烈：副主席大管家遭追杀！江泽民亲信喝酒死。海公公将升任中宣部长？内斗激烈：副主席大管家遭追杀！江泽民亲信喝酒死。海公公将升任中宣部长？
支持陳破空縱論天下，敬請点击訂閲，並不忘按下小鈴鐺获及时通知。歡迎訂閲陳破空會員網站 https://www.chenpokongvip.com以及在希望之城的陳破空會員網：https://landofhope.tv/chenpokong陳破空第二油管頻道：新聞與歷史 https://www.youtube.co...
youtube.com"
2021-04-13T15:37:50.000Z,"【自由亞洲電台 特約評論】
陳破空：戰狼外交比賽，中共究竟撈到了什麼？评论 | 陈破空：战狼外交比赛，中共究竟捞到了什么？
习近平在外交上主张战狼精神，声称“要解决挨骂的问题”。于是，中共战狼外交正式走上国际舞台，且不断升级。上到政治局委员杨洁篪、外交部长王毅，下到外交部发言人、中共驻各国大使，纷纷展示战狼嘴脸，展开战狼比赛。
rfa.org"
2021-04-13T11:34:18.000Z,"这张照片火了！美军舰长翘腿近观辽宁号！小粉红瞬间崩溃。共军航母是纸老虎？美菲联合军演这张照片火了！美军舰长翘腿近观辽宁号！小粉红瞬间崩溃，共军航母是纸老虎？
支持陳破空縱論天下，敬請点击訂閲，並不忘按下小鈴鐺获及时通知。歡迎訂閲陳破空會員網站 https://www.chenpokongvip.com以及在希望之城的陳破空會員網：https://landofhope.tv/chenpokong陳破空第二油管頻道：新聞與歷史 https://www.youtube.co...
youtube.com"
2021-04-12T12:00:26.000Z,"亲自！习近平密发12条禁令：清洗西方读物，只留马列！推广新疆模式，强求汪洋背锅亲自！习近平密发12条禁令：清洗西方读物，只留马列！推广新疆模式，强求汪洋背锅
支持陳破空縱論天下，敬請点击訂閲，並不忘按下小鈴鐺获及时通知。歡迎訂閲陳破空會員網站 https://www.chenpokongvip.com以及在希望之城的陳破空會員網：https://landofhope.tv/chenpokong陳破空第二油管頻道：新聞與歷史 https://www.youtube.co...
youtube.com"
2021-04-11T23:52:52.000Z,"战狼比赛的最新成果：瑞典要求驱逐中共大使！土耳其断水中国大使馆瑞典要求驱逐中共大使！土耳其断水中国大使馆。战狼比赛的最新成果
支持陳破空縱論天下，敬請点击訂閲，並不忘按下小鈴鐺获及时通知。歡迎訂閲陳破空會員網站 https://www.chenpokongvip.com以及在希望之城的陳破空會員網：https://landofhope.tv/chenpokong陳破空第二油管頻道：新聞與歷史 https://www.youtube.co...
youtube.com"
2021-04-11T11:46:31.000Z,"原来如此！习近平怀疑马云是反对党领袖，组建东林党！阿里巴巴遭重罚原来如此！习近平怀疑马云是反对党领袖，组建东林党！阿里巴巴遭重罚
支持陳破空縱論天下，敬請点击訂閲，並不忘按下小鈴鐺获及时通知。歡迎訂閲陳破空會員網站 https://www.chenpokongvip.com以及在希望之城的陳破空會員網：https://landofhope.tv/chenpokong陳破空第二油管頻道：新聞與歷史 https://www.youtube.co...
youtube.com"
2021-04-10T11:36:20.000Z,"习近平密派亲信，悄悄干了一件事！文革后首次。就在清明节前夕。毛新宇现身遭围观。毛泽东特型演员云集韶山，没想到习近平密派亲信，悄悄干了一件事！毛新宇现身被围观。毛泽东特型演员云集韶山，没想到
支持陳破空縱論天下，敬請点击訂閲，並不忘按下小鈴鐺获及时通知。歡迎訂閲陳破空會員網站 https://www.chenpokongvip.com以及在希望之城的陳破空會員網：https://landofhope.tv/chenpokong陳破空第二油管頻道：新聞與歷史 https://www.youtube.co...
youtube.com"
2021-04-09T15:27:22.000Z,"【美國之音 焦點對話】
開放江青墓，禁祭趙紫陽，誰的幽靈在中國遊蕩？4/9【焦点对话】开放江青墓 禁祭赵紫阳 谁的幽灵在中国游荡？
清明节原本是慎终追远的日子，但今年清明碰上中共建党百年这个敏感的历史截点，又是疫情爆发后第一个可以自由出行的清明节，中共当局的一些做法引起了人们的关注。首先是毛泽东的妻子、四人帮之首江青的墓地对公众开放，而改革派代表人物、前中共总书记赵紫阳的墓地却受到严密监视，不许人们祭奠。此外，中共官媒《人民日报》清明发文高唱...
youtube.com"
