Timestamp,Text
2021-04-14T02:54:31.000Z,"Replying to 
@cjw4012
 @guoguoou
 and 
@zhangjiachen123是的，投票还是有的，我们会派100元误工费，你那边有吗？我觉得这种做法让选举的意义大打折扣"
2021-04-13T04:52:34.000Z,"Replying to 
@zhangjiachen123我去年刚选过，我认为中国的基层选举需要更加规范。"
2021-04-11T13:56:44.000Z,"断章取义，有组织的抹黑Quote Tweet
DW 中文- 德国之声
@dw_chinese
 · Apr 11
中国罕见地承认当前国产疫苗“保护率不高” https://p.dw.com/p/3rqAG?maca=zh-Twitter-sharing…"
2021-03-26T08:55:14.000Z,中国出击反制欧盟和英国。美国的那些所谓盟友，很多就没有完全独立自主的主权，如果损失不大，他们就会跟美国妥协，如果损失大了，他们会再多掂量一下。中国正是看中他们的这种心态，更加要穷追猛打。当今的形势，新冠疫情的发展，从经济层面，欧美有求于中国多于中国有求于他们，此时不打何时打？
2021-03-26T08:54:08.000Z,"Replying to 
@maomi121老李，淡定，大家继续看下去"
2021-03-26T02:13:35.000Z,"Replying to 
@zhiliang_zhou
 and 
@jhL6CJzJ7FGOuMJ扯这个没有用，以前是世界第一，现在是新冠病毒第一。跟你说美国的种族问题，你又给扯别的美国如何第一的话题，目的无非还是在回避美国自身的矛盾。"
2021-03-26T01:32:20.000Z,"Replying to 
@maomi121
 @s6cmfeDulNlis1d
 and 6 others关键是大家对“不变的东西”有不同理解。

香港回归中国，从根本上来说也不是“英国同意”的，而是在现实情况下英国不得不那样做的结果。"
2021-03-25T15:48:57.000Z,"Replying to 
@zhiliang_zhou
 and 
@jhL6CJzJ7FGOuMJ自说自话，全世界的人都知道美国的种族问题严重，竟然你还敢帮他洗白。你说美国好没用的，要大家认为好才算。。这个问题已经好多年了，一直没解决，还好意思说他们道歉并改正，愧你说得出口。"
2021-03-25T15:26:10.000Z,"我发现在海外上了年纪的很多华人有个特点，就是不太敢正面和白人冲突，在白人面前不太敢维护自己的平等地位，容易活在忍让和屈辱中。归咎其原因就是:过去的经历让他们认为自己实力不如别人，认为对抗最终只会自己吃亏，他们那种坚定维护自己利益的勇气和斗志已经被深深埋在心里底层，有待去发掘和释放Quote Tweet
黄河边
@huanghebian
 · Mar 25
昨天喷美国、今天斥法国、明天骂加国，一个国家和一个国家闹别扭，或许错在他国，若一个国家和一大帮子国家都不对付，恐怕还得自已找找原因。至少，要学会审视一下，为什么这么多国家那么讨厌你。国与国人与人都同此理，当看到一群公关部的人纷纷反串成了保安城管，你就很难让百姓淡定了！硬伤哪⋯"
2021-03-25T15:02:38.000Z,"Replying to 
@zhiliang_zhou
 and 
@jhL6CJzJ7FGOuMJ怎么事实跟你讲的不一样。他们有为入侵伊拉克道歉吗？有为国内的种族歧视道歉并解决问题吗？为何美国现在依旧每天因为新冠疫情死那么多人？"
2021-03-25T14:31:39.000Z,"Replying to 
@dw_chinese问得好，我来帮他们回答一下:都是学你们的！"
2021-03-25T14:15:20.000Z,"Replying to 
@lE0souE8YAnxITX
 @maomi121
 and 5 others问的好！我可以回答你:军事、媒体、话语体系、代理人、地缘政治、选举影响力。要中国有这些影响力，他们也会听中国的，道理也不复杂。"
2021-03-25T14:07:26.000Z,"Replying to 
@maomi121
 @TaoSun2018
 and 
@Felixchoi8不是中国不允许看，中国一直邀请他们过来看。是他们要求中国按照他们的不合理要求看，这个是不可能的！按老李的话可以演绎:美国为何不邀请世卫组织去调查？有何不让看的？我阅历没老李多，但我不会问这类傻问题。这背后其实是实力和话语权的较量。你真按照他们的方式，你就掉进去了。"
2021-03-25T13:44:07.000Z,"Replying to 
@Soymilk006
 @gboG1k7RBi6unjA
 and 6 others欧盟最有主权的德国法国也是被美国影响很深，更别说其它像荷兰、比利时这些小国，这些小国为了摆脱地区大国的控制力，也倾向于亲美。"
2021-03-25T10:25:21.000Z,"Replying to 
@ChrisWongsar哈哈，小心研判，大胆应战"
2021-03-25T10:18:08.000Z,"Replying to 
@gboG1k7RBi6unjA
 @maomi121
 and 5 others欧洲国家就没有真正的独立自主，我自己的理解就是美国在欧洲有代理人，美国通过传媒、科技、代理人等手段影响着欧洲国家的决策。不听话的，想办法通过这些力量干扰影响，你就不怕下次选举？这也是美国那么卖力推销他们民主的原因。

所以他们的领导人在重要事情上倾向于跟美国达成某种妥协。"
2021-03-25T07:41:56.000Z,"Replying to 
@maomi121
 @1BiVTqCKXXg5aoh
 and 4 others哈哈，老李又出现严重逻辑漏洞了，我眼睛很利的"
2021-03-25T07:38:29.000Z,"Replying to 
@maomi121
 @1BiVTqCKXXg5aoh
 and 4 others老李的逻辑辩不过我。23条指的是香港立法机构有义务设立国安法律。现在的港区国安法，是人大设立的另一部全国性法律，并没有和23条冲突，根据基本法第23条，香港立法机构仍然有责任就国安问题立法。关键的点在于西方把23条义务性条款理解为权利性条款，老李跟着被带过去了"
2021-03-25T07:25:37.000Z,"Replying to 
@maomi121
 @1BiVTqCKXXg5aoh
 and 4 others不等于，你没听清我说的无形的力量，有很多源头是在美国，不是你说的本国"
2021-03-25T07:20:19.000Z,"Replying to 
@maomi121
 @1BiVTqCKXXg5aoh
 and 4 others老李可以看一下基本法第23条内容，不难，很容易搜到。发现老李真是被那些媒体带歪了。"
2021-03-25T07:18:46.000Z,"Replying to 
@maomi121
 @1BiVTqCKXXg5aoh
 and 4 others老李，你搞错协议了，基本法完全就是由人大通过的，而且里面也写得很清楚，人大可以修改并解释条文。

50 年不变说的是一国两制不变，香港仍然保留资本主义社会制度。并非说基本法不变，老李被带歪了，我要清晰的回复这点。"
2021-03-25T07:12:05.000Z,"Replying to 
@deheng88
 @maomi121
 and 5 others同时，中国的科技发展确实抢夺了一部分他们的高利润。这背后就是欧州国家自己的利益在里面。所以，欧洲国家面对中国是多股力量影响的，是相互矛盾的。一方面和中国合作得到利益，另一方面，也怕自己的利益受到损害，也有压力去远离他。"
