Timestamp,Text
2021-04-14T04:16:18.000Z,"Replying to 
@shucaileibaozha厉害厉害。我还没达成这一项任务"
2021-04-11T02:24:33.000Z,"Replying to 
@dw_chinese难道不是事实吗？"
2021-04-11T02:20:39.000Z,"Replying to 
@jonas_zug
 and 
@M8CHINA美男计比较好。床上活捉她你就立大功了。"
2021-04-11T02:17:40.000Z,"Replying to 
@ppLLJ85497资本没有国界，但美国是全世界资本家的祖国。"
2021-04-09T12:25:49.000Z,"Replying to 
@QFsFP3yAZKKFBwK
 @EpsilonChad
 and 5 others是啊，在这方面他可是手上长毛——老手了"
2021-04-09T11:45:54.000Z,"Replying to 
@maomi121
 @yaohuipeng1
 and 4 others把东西贵解释为汇率问题，这也是够神奇的了，那按照你的逻辑，任何国家只需要提高汇率+印刷钞票就能够买下全世界了。"
2021-04-09T11:37:38.000Z,"Replying to 
@PeterYou1987这说明西方对我们的批评已经从物质层面上升到精神层面了"
2021-04-09T11:31:53.000Z,"Replying to 
@maomi121
 @yaohuipeng1
 and 4 others我们哪里不想买了啊。光刻机，芯片，高精密机床等等都想买，可是也得别人肯卖才行啊。而且还有一点，凡是中国不能自主生产的，都那么死贵，一旦能自主生产，哪怕是质量不那么好，国外的产品才能降价，能不能一开始便宜一点啊。"
2021-04-09T11:26:11.000Z,"Replying to 
@shucaileibaozha话不能这样说的，历史局限性的问题谁都免不掉。正如不能因为洋务运动是为了给清朝统治阶级的续命而否定其学习西方先进技术，富国强兵，推动国家社会进步的正面意义。"
2021-04-09T00:24:16.000Z,"Replying to 
@freexoyo
 and 
@VOAChinese职场混了那么多年，话术都懂，领导说：这个项目我们一起努力把它搞定。其实言下之意就是：你来把它搞定，然后算作是我们一起的功劳。但凡领导要这么说，我都是脸上笑嘻嘻，心里妈妈批。"
2021-04-09T00:07:32.000Z,"Replying to 
@VOAChinese说那么多没用的干啥？真要想帮台湾，你们先直接承认台湾的地位，和台湾建交嘛。还和民主盟友合作，摆明了就是要让盟友们去送死，你躲在后面捞好处而已。"
2021-04-09T00:03:04.000Z,"Replying to 
@RFA_Chinese小编的选题一直很奇怪，其实你选一些996，没有加班费之类的题目的话，我们还真没话说，甚至会赞同你的说法，可是你偏偏选抗疫这种中国考了全班第一的题目。
不过再想想也能理解，因为我们并不是你的目标受众，我们看了是否赞同对你毫无意义。所以本质上这些东西都是用来凝聚你们内部共识的。"
2021-04-08T23:53:34.000Z,"Replying to 
@shucaileibaozha那叫做反战败而已"
2021-04-08T23:52:46.000Z,"Replying to 
@Chqx_6哥们，我就是个精共（精神共产党），信仰共产主义也不一定要入党的。而且我觉得党组织里面真正信仰共产主义的人其实还真不多。"
