Timestamp,Text
2021-04-14T14:52:53.000Z,米戎对日夷排核废水入海的支持与感谢，竟然是口惠而实不至，究竟是米戎涮日夷?还是日夷涮米戎?
2021-04-14T01:02:20.000Z,"本来还对日本广岛核受害者抱有同情，但日夷为了排核废水竟然设计了吉祥物?!特么你排核废入海反人类居然还吉祥了?XXX!
可怜之国必有可恨之处!"
2021-04-13T16:55:38.000Z,"Replying to 
@celiachangzhou美女喝雪碧，姿态优美，所以羡慕~"
2021-04-13T13:34:52.000Z,"Replying to 
@clinshu摧毁!"
2021-04-13T06:32:14.000Z,"Replying to 
@6259yuan什么情况？我们从来不用算计宽带和流量。"
2021-04-13T06:25:24.000Z,"Replying to 
@celiachangzhou中华民族永远不能泯灭以天下为己任的远大志向，不能囿于一条国境线而不敢生孩子而不敢走出去而不敢开疆拓土！"
2021-04-13T06:24:06.000Z,"Replying to 
@celiachangzhou干它。灭其国，吞其地，归化其国民！"
2021-04-13T06:23:02.000Z,"Replying to 
@HuXijin_GT人性的泯灭由布林肯感谢日夷核废水入海开始！"
2021-04-13T04:08:15.000Z,布林肯居然感谢日夷，TMD
2021-04-13T03:49:56.000Z,日夷应该被灭国了！
2021-04-13T03:32:49.000Z,"日本福岛核废水将排入大海，米戎支持，这一次米戎日夷合流，要逆国际社会而动反人类？

坚决反对日夷核污水排大海！"
2021-04-11T15:04:32.000Z,"Replying to 
@DongNMLGB变成直升机飞过去"
2021-04-11T15:03:09.000Z,"Replying to 
@celiachangzhou没必要回去，米戎这样的邪恶国家，最后结局只有一个:被开除球籍。"
2021-04-11T15:00:57.000Z,"Replying to 
@DongNMLGB性感到让人辗转反侧"
2021-04-11T11:04:27.000Z,"Replying to 
@DongNMLGB见一次羡慕一次，就像看见你，见一次爱一次"
2021-04-11T11:03:52.000Z,"Replying to 
@hlcjlxc
 and 
@Fatal1tyV宫保鸡丁吃剩了，做成饺子继续吃~"
2021-04-11T11:02:06.000Z,"Replying to 
@DongNMLGB羡慕有园子的"
2021-04-10T11:04:55.000Z,"米戎交通部长：“我不是针对中国人民，我只是无法接受中国人民享有比美国更高水平的生活标准，这挑战了美国人的基本价值观。”

意思是:中国人民只能过比美国人差的日子?不让其他国家的人民过好日子就是美国人的基本价值?

这纯粹是特么强盗逻辑！XXX！"
2021-04-10T09:48:10.000Z,"Replying to 
@lh9983
 and 
@dw_chinese米戎一直以来明明是为石油资源而战，明明是为石油美元而战，明明是为金融霸权而战，明明是为搞乱中东防止欧亚大陆连成一体而战，却搞了一个堂而皇之的理由，为人权而战，但讽刺的是，因为米戎发动的战争，产生了数百万流离失所难民，连生存权都无法保证，米戎这是自打嘴巴！直到米戎的女副总统说漏嘴！"
2021-04-10T09:40:43.000Z,"Replying to 
@dw_chinese米戎建国，从头到尾每一个毛孔都滴着血，滴着印第安人的血，滴着黑奴的血，滴着中东人民的血，滴着非洲人民的血，也滴着亚洲人民的血！米戎建国200余年，一直在其他国家制造人权灾难，伊拉克、叙利亚、南联盟……"
2021-04-10T09:34:50.000Z,"Replying to 
@congqianman1994挺漂亮✓"
2021-04-10T04:11:31.000Z,"Replying to 
@gentlemanG2没有关系，慢慢来"
2021-04-10T04:05:02.000Z,"Replying to 
@Victor9391要么归化，要么去外星球。"
2021-04-10T02:02:12.000Z,滥用市场支配地位，强迫商户二选一，阿里巴巴集团被罚182.28亿元。
2021-04-10T01:16:29.000Z,CCTV-1播出《黑洞-美国制造的人权灾难》，把米戎钉在反人类的耻辱柱上，反米戎号角已经吹响，从米戎先祖登陆美洲大陆开始，起底米戎罪恶历史，广为宣传，高举人权大旗，争取世界民心，团结全球深受米戎迫害的中东非洲人民，把米戎打入万世不复之境地！
2021-04-10T00:05:06.000Z,"这叫敬畏人民！一个敬畏人民的政党肯定是全心全意为人民服务的政党。

这叫不畏强敌，任何敢与这个政党和它所敬畏的人民为敌的外部势力，必然在这堵铜墙铁壁面前粉身碎骨！

颤抖吧，西方诸戎！Quote Tweet
𝕌ℕℂ𝕃𝔼 𝕊𝕀𝕏
@UncleSix9
 · Apr 9
这是对一个政权的最高赞扬了吧"
2021-04-09T23:54:53.000Z,"Replying to 
@DongNMLGB这谁啊?韭菜精?"
2021-04-09T14:34:07.000Z,米戎昨天把中国七家超算企业拉入实体清单，两党出台2021战略竞争法案，妄图让中国人民成为刀俎之下的鱼肉，狼子野心已经毫不掩饰，央视一套今日播出揭露米戎横行霸道的纪录片，又一阶段的“战争”号角已经吹响，中米进入全面对抗阶段！干！只能前进不能退缩，粉碎一切敌人！
2021-04-09T12:53:22.000Z,"Replying to 
@lunareadingnote这是什么人拍的?"
2021-04-09T12:50:41.000Z,"Replying to 
@lunareadingnote恁娘拍的樱花不错，粉霞雪白。"
2021-04-09T12:47:02.000Z,"Replying to 
@hlcjlxc另一只手为什么中指指甲那么长?是女人的手吗？"
2021-04-09T02:46:39.000Z,"Replying to 
@hlcjlxc干着进湿着出，这种玩法很爽？"
2021-04-09T01:24:34.000Z,"Replying to 
@renebuae确切地说，这是挖树坑机器人。"
2021-04-08T22:21:37.000Z,"Replying to 
@lukelht
 and 
@shya820309京台高速台湾海峡隧道工程"
2021-04-08T10:17:08.000Z,"Replying to 
@Tinker_Chen饭要一口一口吃，扩张太快会被撑死的。前有秦二世而亡其后有隋短命政权。"
2021-04-08T09:59:28.000Z,"Replying to 
@USA_China_Talk既然由缅甸人民决定他们的未来？米戎和盟友掺和什么？明显的逻辑错误和自己打脸的前后矛盾！"
2021-04-07T15:25:46.000Z,"Replying to 
@YANGZHONGWEI2米戎炒作牛扼礁 挑动菲律宾折腾"
2021-04-07T15:24:05.000Z,"Replying to 
@Shaotang6字字如锥，锥锥扎米戎！"
2021-04-07T01:45:57.000Z,"出差路上，看到一队后顶部带雷达的军车沿京台高速南行！目标湾湾?

西方诸戎宵小之辈，此刻正假造新疆问题围堵中国，此时打一场展现军事实力的高科技战役，拿下湾湾，可以起到震慑宵小，争取摇摆国家，团结友好国家的巨大作用。

干吧！解放某小岛！"
2021-04-07T01:06:16.000Z,"这说明米戎越来越穷，不得不开放博彩业续命。Quote Tweet
New York Daily News
@NYDailyNews
 · Apr 6
 Gov. Cuomo and New York lawmakers reach a deal on the state's $212B budget — which raises taxes on rich and legalizes mobile sports betting
https://nydailynews.com/news/politics/new-york-elections-government/ny-state-budget-albany-cuomo-near-completion-20210406-syqwnmqe6vb5bbcktkpcwqo2by-story.html…
Show this thread"
2021-04-06T14:14:27.000Z,"Replying to 
@G2_1988管它，做好自己的事情，不听蝲蛄蛄叫唤就好了。"
2021-04-06T14:12:14.000Z,"米戎宗教自由委员会，你凭什么代表中国人民?大言不惭，荒唐至极！中国人民想把你们造谣污蔑的嘴巴封住！

还国际人权标准?救救你国因为疫情死亡的三十多万人民吧！人之不存，权将焉附?！

背景:美宗教自由委员会称无惧北京制裁 ，继续为中国人民发声。"
