Timestamp,Text
2021-04-14T13:44:53.000Z,"https://youtu.be/FFdKz1epkvI

直播10點開始。

繼續介紹台灣的民主經驗和公投民主《讀書時間》：台灣公投制度的弊病，中國未來的憲政也需要公投
youtube.com"
2021-04-14T12:20:07.000Z,"臥底影片曝光！CNN編造假新聞黑川普 助拜登上位臥底影片曝光！CNN編造假新聞黑川普 助拜登上位 - 國際 - 自由時報電子報
據《福斯新聞》報導，美國調查媒體「真相工程」（Project Veritas）13日公開了其臥底記者與《美國有線電視新聞》（CNN）工作人員的密錄談話影片，揭露了CNN為了扳倒前總統川普，並協助拜登上位的編輯台黑幕，包括編造「他們一無所知的故事」來質疑川普的健康狀況，目的就是要趕他下台。報導中說，美國調查媒體「真相工程」（Project Veritas）13日公開了「揭發CNN（#Expos...
news.ltn.com.tw"
2021-04-14T12:16:01.000Z,"Replying to 
@lookoo67GG2012年開始你們就在做“中國夢”了。忘了？"
2021-04-14T12:15:14.000Z,"Replying to 
@Superdanielhel1做得到做不到是一回事，要不要去做是另一回事。

你也此生都沒有機會長生不老，但你還是努力活著，是不是？"
2021-04-14T12:11:53.000Z,"Replying to 
@lengyuye163你想“站”的事情，我想“飛”的事情，各做各的，沒必要相互指責。"
2021-04-14T12:11:06.000Z,"Replying to 
@franktianxie一般來說，應當會先有一個臨時政府或者類似機構，選舉出臨時總統。民國當初就是這樣處理問題的。"
2021-04-14T12:05:51.000Z,"國民黨動不動就指責民進黨要消滅中華民國，

但民進黨執政，用的仍然是中華民國的國號；而共產黨在小學教科書中都要抹去“中華民國”的歷史存在。

到底是誰要消滅中華民國，這不是一清二楚嗎？

要維護中華民國，卻找錯對象，國民黨這幾年的兩岸政策進退失據，根本原因在此。國台辦稱在反人民內戰中失敗 國民黨：扭曲歷史難癒合民族傷痕 - 政治 - 自由時報電子報
針對港府最近將小學六年級教科書中關於1949年中華民國政府遷台的內容，調整為「由蔣介石領導的中國國民黨則遷至台灣」，以及今日上午中國國台辦記者會以「反人民內戰中失敗」說明當年國共戰爭與政府遷徙，國民黨大陸事務部主任左正東回應表示，基於國家民族的大是大非，該黨必須端正視聽，並強調任何過度簡化或扭曲歷史的說法，只會讓民族的傷痕更難癒合。他強調，中華民國至今已經110年，這是無可爭辯的事實，只有正...
news.ltn.com.tw"
2021-04-14T04:01:15.000Z,"關於未來中國的制憲方式，可以參考法國《第四共和憲法》的例子：

先針對“制憲程序”進行公投，讓人民清楚表示是否同意制定新憲法，以及是否同意制定新憲法的程序；

然後，再依照人民公投同意的制憲程序，由總統組成新憲法草擬委員會，擬定新憲法草案，

再將草案內容交付人民進行第二階段的公投。"
2021-04-14T03:12:05.000Z,"《讀書時間》直播預告：

  時間：台北/北京時間今天（4/14）晚上10點

  主題：台灣公投制度存在的弊病，中國的憲政未來也在於公投---讀《公投民主在台灣》（完）王丹學堂
一個無可救藥的理想主義者；致力于做一個温和，堅定，有建設性的政治反對派；期待未来的中國，能夠重建政治秩序和生活秩序。 想知道直播時間請追蹤我的FB粉絲專頁或是開啟YouTube訂閱旁的小鈴鐺
youtube.com"
2021-04-13T04:05:45.000Z,"感謝各位的捧場，我母親的回憶錄一刷已經售完。今天，二刷1000本已經出廠，依然歡迎訂購。

只要10本/台灣免運費
https://reurl.cc/o94nZq

港澳中/ 10本 / 運費折扣
https://reurl.cc/3Np0x8

全球免運/ 36本
https://reurl.cc/6yY1vV

蝦皮購買：
https://reurl.cc/1gmDbG"
2021-04-12T22:18:34.000Z,"黎智英親筆信謝《蘋果》同仁　「時代既倒　更是我們昂首站立之時」 https://tw.appledaily.com/headline/20210413/HEW2HGEUKRG5PGLHGTHRO25AMQ/?utm_source=twitter&utm_medium=social&utm_campaign=twad_article_share&utm_content=share_link… #蘋果日報黎智英親筆信謝《蘋果》同仁　「時代既倒　更是我們昂首站立之時」 ｜ 蘋果新聞網 ｜ 蘋果日報
【大陸中心／綜合報導】壹傳媒集團創辦人黎智英去年12月被港府控勾結外國勢力等罪，遭未審先囚收押至今。每次出庭都會有香港《蘋果》同事高聲揮手送車的黎智英，本月初從獄中寄來首份給予香港《蘋果》同仁的親筆「家書」。內容除指香港當前情勢令人心寒外，更坦言「言論自由現成了危險的工作」，...
tw.appledaily.com"
2021-04-12T20:38:48.000Z,"https://t.me/joinchat/NvyQXFK7UIOSwU7BRWr1Jw…

邀请加入改變
“改變”電報群群規 1、本群以理性務實的討論為出發點，以“改變中國”為宗旨，以網絡公民社會為平台，為改變中國和改變後的中國做準備。 2、本群是追求自由與民主的人們自願加入的一個時政交流平台，成員之間應尊重彼此的言論自由，信仰習俗，和三觀等價值。 3、本群管理員負責定期管理群內的各項事務，如更新通知，管理設置，刪添成員，等等。 4、本群倡導文明交流，杜絶人身攻擊和辱罵誹謗，一經管理員發現將被立...
t.me"
2021-04-12T15:10:56.000Z,"https://youtu.be/UgHd6O6Ef1w

本期嘉賓是在文革中因獨立思考而被迫害致死的遇羅克的胞弟遇羅文。從他的視角，我們將一瞥這個中國有史以來最黑暗的歷史片段。幸存者的吶喊：絕不能忘記這段歷史！（我們ING-第30期）
#中國#文革#歷史
本期嘉賓是在文革中因獨立思考而被迫害致死的遇羅克的胞弟遇羅文。從他的視角，我們將一瞥這個中國有史以來最黑暗的歷史片段。
youtube.com"
