Timestamp,Text
2021-04-13T09:49:56.000Z,"將前面幾期的層塊塔、自組織維基等看似玄虛的概念用於現實，其中之一可為香港提供最具合法性的民意表達——治港維基
【溶解權力6】以明確具體的真實民意取代被各種角色玩弄股掌的號稱民意最具合法性的民意表達【溶解權力6】
明確具體的真實民意取代各種角色都可以在裡面投機取巧的所謂民意。
youtube.com"
2021-04-11T12:56:14.000Z,"有網友勸我：這種燒腦節目沒人看，白費勁，可是明明每期都有幾十次觀看呢！當年沒被禁止出境時，到國外哪個機構或大學講一次，參加者頂多也就幾十個，還得辦簽證坐飛機什麼的……費的勁更多
【溶解權力5】靈活的分合、轉移、重組是層塊塔自組織功能相較傳統組織的優勢所在無中心控制但能協調統一的機制【溶解權力5】
靈活的分合、轉移、重組是層塊塔自組織功能相較傳統組織的優勢所在。
youtube.com"
2021-04-09T15:38:44.000Z,"自組織狀態的維基從一層變成多層，相當於磚瓦被蓋成大廈的過程【溶解權力4】讓「民」中的每個人都能參與「主」【溶解權力4】
由「逐層遞選」和「遞進委員會」層層搭起自組織層塊塔。
youtube.com"
2021-04-07T12:07:46.000Z,"我用「層塊塔」形容這種組織形式：一個層塊反复裂變可以形成無限擴展的共同體【溶解權力3】——IT技術和互聯網給這種組織形式提供了可能和運轉基礎一個層塊反复裂變形成無限擴展的共同體【溶解權力3】
IT技術和互聯網給這種組織形式提供了可能和運轉基礎。
youtube.com"
2021-04-07T02:22:27.000Z,"Replying to 
@kuantiankedi找到了。谢谢！"
2021-04-06T22:52:09.000Z,"我去年已在Youtube频道《绝地今书》http://youtube.com/c/jidaibooks/ 发布了《转世》全篇。有免费多媒体版——我自己朗读——供听书，也可通过“赞赏与回赠”方式得到正简体各种格式的文字版和音频版 https://jidaibooks.com/donation/Quote Tweet
NEW_BEGIN2021
@NEW_BEGIN2021
 · Apr 6
Replying to @wlixiong
您的《转世》呢？还未见到全篇。"
2021-04-06T10:11:16.000Z,最近在想未来火星殖民的社会组织、管理体制、经济模式和政治运作，搜索目前已有哪些成型思考和研究论述，中文互联网信息很少并肤浅。拜托推友帮忙搜选其他语言，提供链接。我可借助机器翻译了解大概，开阔眼界，得到点拨。感谢！
2021-04-05T11:56:27.000Z,"這一期看題目可能就會引起批評。不過我的確認為需要想想當今民主制度存在什麼問題，以及如何改進。本來期待這次美國大選危機有所促進，但似乎只被當成已然撥亂反正，回歸正軌……
代議民主的數量求和需要提升到向量求和的民主【溶解權力2】代議民主的數量求和需要提升到向量求和的民主【溶解權力2】
層塊範圍一定要限制在成員相互瞭解的範圍，非常重要的原因就是為了產生向量求和的和載體。
youtube.com"
2021-04-03T14:52:40.000Z,"Replying to 
@LkgoX1TmG4bVQ82谢谢。要改进"
2021-04-03T11:21:15.000Z,"這個系列本不想公開，知道沒幾個人能看下去。後來想起一軼事，某人在圖書館看到一本無人光顧的偏科書，恰好對興趣，看到了最後一頁，發現夾著一張支票，上有作者留言，贈給第一個讀完這本書的人…所以說不定什麼時候有誰能讀完…
可分裂、複製、結合的自組織細胞【溶解權力1】可分裂、複製、結合的自組織細胞【溶解權力1】
只有離開主持人群體內部仍然能夠充分溝通，才是自組織而不是自上而下的被組織。
youtube.com"
2021-02-15T00:50:30.000Z,"Replying to 
@BeGel41857075谢谢您读我的书。《转世》是虚构未来时的作品，现实还没发生：-）"
2021-02-07T23:32:05.000Z,"達賴喇嘛下榻的日光殿，滿牆壁畫上有許多佛或菩薩的臉被利器亂刻亂劃留下的痕跡，是文革時住在這裡的軍人所為【殺劫12】在護法神班丹拉姆像那裡，用木板隔出了男女廁所【殺劫12】
達賴喇嘛下榻的日光殿，滿牆壁畫上有許多佛或菩薩的臉被利器亂刻亂劃留下的痕跡，是文革時住在這裡的軍人所為【讚賞與回贈】https://jidaibooks.com/donation/【絕地今書討論區】提問 討論 回答 https://jidai.today
youtube.com"
2021-02-03T13:38:29.000Z,"大昭寺成豬圈【殺劫11】古老的精美壁畫被覆蓋上毛澤東語錄古老的精美壁畫被覆蓋上毛澤東語錄【殺劫11】
一九五九年至一九七六年，西藏自治區原有二千七百座廟宇僅只剩下八座 【讚賞與回贈】https://jidaibooks.com/donation/【絕地今書討論區】提問 討論 回答 https://jidai.today
youtube.com"
