Timestamp,Text
2021-04-04T05:59:03.000Z,"https://joinclubhouse.com/room/Pby2g5ny
按我的頭像或『念念規則』可瞭解更多。
https://aiweiwei-niannian.com

艾未未的藝術項目，歡迎參加。念念 Commemoration
512 念念 Commemoration - 北京时间二〇二一年四月四日清明节零时开始
aiweiwei-niannian.com"
2021-04-04T03:44:48.000Z,ClubHouse 上面，由艾未未主持的『念念 Commemoration』正在進行中，歡迎大家參加。活動內容歡迎大家進入房間後點選主持人頭像，按『View Full Profile』瞭解。我將在15分鐘後開始主持八個小時。
2021-04-02T11:30:26.000Z,難過！望罹難者安息，受傷者早日痊癒。感謝所有投入救災的英雄們。天佑台灣！
2021-03-28T11:20:26.000Z,"你們村子的磨坊老闆好像都在打孩子，又不讓我們瞭解到底怎麼回事，以後不買那家的油了！

又要到我們村賣麻花，又抵制我們村的油，我們全村抵制你們的麻花！想進我們村賣藝的也不准吃你家麻花還打卡！你們家一百多年前也打過小孩！我村的油是頂級品質！"
2021-03-28T10:39:16.000Z,"Replying to 
@idzhang3同意。3就夠。1與2應該說是幫助思考。"
2021-03-28T10:24:20.000Z,"Replying to 
@Johnny88660537
 and 
@Onebtcer共產黨有多壞，全國人都知道，新疆漢人在對待維吾爾人一事上，大多數支持共產黨。"
2021-03-28T10:21:59.000Z,"關鍵不在於能否證明新疆棉花田裡有被強迫勞動的事實，關鍵是，1，新疆有沒有集中營，2，新疆有沒有強迫勞動，3，能否證明棉花田裡沒有強迫勞動？

如果1是2是而且3無法，抵制就天經地義。

如果無法證明就不能抵制，共產黨就更要封鎖所有消息了。"
2021-03-26T06:23:11.000Z,"今天有個臨時行程，下午4:30到5點整，到台北西門 H&M 亞洲旗艦店 Shopping！如果有網友剛好也要來，別忘了跟我打個招呼！
好像從來沒有買過他們家東西，也好像不缺什麼衣服，請問網友們，我這種大叔可以買他們家什麼？"
2021-03-25T08:20:33.000Z,我在臉書上的聲明。
2021-03-22T16:44:19.000Z,"這篇文章是2018年12月3日所寫，距離新冠肺炎全球肆虐還有一年。文末提到的頭撞南牆，似乎是發生了。新的全球中國政策會是符合期待的普世價值嗎？吾爾開希專欄：四十年綏靖政策會隨老布希而去嗎--上報
老布希死了，享年94歲。我一直批判西方國家的中國政策就是不折不扣的「綏靖政策」，這個名詞源自英國在二戰......
upmedia.mg"
2021-03-22T08:00:54.000Z,氣急敗壞者不少，努力用『美國人更糟』的老招的不少，敢正面回答的沒有。
2021-03-22T07:14:09.000Z,"Replying to 
@ishinson你對海外民運的堅決不相信的依據是... 共產黨的宣傳？"
2021-03-22T07:11:59.000Z,"Replying to 
@ishinson不相信海外民運的人民日報，中央電視台，還是新華社，或是只要是某個海外民運人士的話就都通通不信？海外民運上台？這更離譜吧，天安門時候都沒想過推翻共產黨上台，你的反對... 嗯，沒事，洗洗睡吧。"
2021-03-22T05:47:39.000Z,"很想知道小粉紅五毛們對下面這句話的立場：

雖然共產黨說的話是不准提出不同證據，批判言論會被審查消音，反對者會被投入監牢，但我還是決定相信這樣的共產黨！

是嗎？請回答，罵人是答不上來氣急敗壞吧。"
2021-03-21T09:47:20.000Z,"Replying to 
@juanli324在那個假設的情境裡，我們如果做了的事情是罪行。"
2021-03-20T12:47:18.000Z,"Replying to 
@ponyliu8比如說馬克思主義，列寧主義。"
2021-03-20T12:46:17.000Z,"Replying to 
@fanhw滾回牆裡叫去。"
2021-03-20T09:31:10.000Z,"Replying to 
@ponyliu8知道那個國家政府得到更多百姓擁戴嗎？朝鮮。"
2021-03-20T08:24:47.000Z,"Replying to 
@idzhang3白宫公布的《美国对印太地区战略框架》也是2017年制定。

——對啊。"
2021-03-20T08:18:25.000Z,這就是我們看到布林肯提出的中國嚴重威脅國際秩序的來由，他所提出的民主政體聯盟也是美國想要調整隊伍，調整策略，重新奪回對世界秩序掌控的走向端倪。世界大格局已變，中共國依靠美國為首的西方國家的急功近利的舊中國政策的順手牌打完了。
2021-03-20T08:18:06.000Z,這幾個瘋子口口聲聲西方敵對勢力“傷害了中國人民的感情”，殊不知他們的言論也傷害了美國人民、加拿大人民、歐洲、日本乃至整個自由世界人民的感情，而這些國家是民主國家，人民的感情會變成選票，會變成調整這些國際中國政策的重要力量。
